DRUG 1,DRUG 2,MECHANISM OF INTERACTION,ALTERNATIVES,RISK RATING
METHOTREXATE,NIMESULIDE,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,DICLOFENAC,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,ACECLOFENAC,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,MELOXICAM,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,ETODOLAC,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,ASPIRIN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,IBUPROFEN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,NAPROXEN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,KETOPROFEN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,FLURBIPROFEN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,MEFENAMIC ACID,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,PIROXICAM,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,TENOXICAM,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,INDOMETHACIN,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,KETOROLAC,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,NABUMETONE,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,PHENYLBUTAZONE,NSAIDs increases the serum concentration of Methotrexate. Severity of interaction is likely higher with higher dose of Methotrexate which can lead to haematological and gastrointestinal toxicity. MOA: Inhibition of renal excretion of Methotrexate by inhibiting renal transport protein and/ or decreasing renal perfusion,"Separate the doses OR Paracetamol, Flupirtine",D
METHOTREXATE,SULFAMETHOXAZOLE / TRIMETHOPRIM,"Trimethoprim may enhance the toxic effect of Methotrexate. SMX-TMP may increase the concentration of free Methotrexate by approximately 30% and reduce its excretion by approximately one half. Both Methotrexate and Sulfamethoxazole-Trimethoprim combination may contribute to folate deficiency, which might affect bone marrow activity. MOA: Unclear","Separate the doses OR Sulfasalazine, Nitrofurantoin, Ciprofloxacin",D
METOCLOPRAMIDE,OLANZAPINE,Metoclopramide may enhance the toxic effect of Antipsychotic agents. Combination with agents associated with neuroleptic malignant syndrome or extrapyramidal reaction (Olanzapine/ Quetiapine) should be avoided according to Metoclopramide prescribing information. MOA: Inhibition of central D2 receptor by Metoclopramide: may cause an imbalance in dopaminergic activity between the nigrostriatal and striatopallidal pathway: leading to movement related side effects,Itopride,X
METOCLOPRAMIDE,QUETIAPINE,Metoclopramide may enhance the toxic effect of Antipsychotic agents. Combination with agents associated with neuroleptic malignant syndrome or extrapyramidal reaction (Olanzapine/ Quetiapine) should be avoided according to Metoclopramide prescribing information. MOA: Inhibition of central D2 receptor by Metoclopramide: may cause an imbalance in dopaminergic activity between the nigrostriatal and striatopallidal pathway: leading to movement related side effects,Itopride,X
MORPHINE,GABAPENTIN,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
MORPHINE,TRAMADOL,Additive CNS depressant effect,Separate the doses,D
MORPHINE,LEVETIRACETAM,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
MORPHINE,NORTRIPTYLINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
MORPHINE,AMITRIPTYLINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
MORPHINE,OLANZAPINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
MORPHINE,ALPRAZOLAM,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
MORPHINE,PREGABALIN,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
NILOTINIB,DOMPERIDONE,Nilotinib: Increases the serum concentration of Domperidone. Domperidone: Increases the QT prolonging effect of Nilotinib. MOA: Inhibition of CYP3A4 mediated metabolism of Domperidone by Nilotinib,"Metoclopramide, Ondansetron, Itopride (Ganaton)",X
OLANZAPINE,HYDROXYZINE,"Additive or synergistic CNS depressant effect with hydroxyzine, which is known to possess CNS depressant effects",Separate the doses. Reduce the dose of CNS depressants when used with Hydroxyzine,D
ONDANSETRON,DOMPERIDONE,Domperidone may enhance the QT prolonging effect of Ondansetron. Risk is likely greater with IV ondansetron,Separate the doses,D
RIBOCICLIB,DOMPERIDONE,Ribociclib: Increases the serum concentration of Domperidone. Domperidone: Increases the QT prolonging effect of Ribociclib. MOA: Inhibition of CYP3A4 mediated metabolism of Domperidone by Ribociclib,"Metoclopramide, Ondansetron, Itopride (Ganaton)",X
SUCRALFATE,CALCIUM,Antacid property of Calcium may diminish therapeutic effect of Sucralfate. MOA: Possibility of decreased binding of sucralfate with the gastro-duodenal mucosa to change in gastric Ph,"Separate the administration of antacid at least by 30 mins. PPIs, H2 Blockers",D
SUCRALFATE,ANTACID / MAGNESIUM HYDROXIDE,Antacid property of Magnesium hydroxide may diminish therapeutic effect of Sucralfate. MOA: Possibility of decreased binding of sucralfate with the gastro-duodenal mucosa to change in gastric pH,"Separate the administration of antacid at least by 30 mins. PPIs, H2 Blockers",D
SULFAMETHOXAZOLE + TRIMETHOPRIM,SODIUM PICOSULFATE,Antibiotic may diminish the therapeutic effect of sodium picosulfate. MOA: Destruction of colonic bacteria leads to minimum conversion of sodium picosulfate to its active metabolite,Separate the doses,D
TAPENTADOL,NORTRIPTYLINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,OLANZAPINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,LEVETIRACETAM,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TAPENTADOL,CLONAZEPAM,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,DIAZEPAM,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,QUETIAPINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,LEVOCETIRIZINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TAPENTADOL,BILASTINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,GABAPENTIN,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TAPENTADOL,PREGABALIN,Additive CNS depressant effect,Separate the doses,D
TERBUTALINE,PROPRANOLOL,Beta blocker: may diminish the bronchodilatory effect of Beta 2 Agonist. MOA: Opposing pharmacological effect,"Cardioselective beta blocker is preferable (in patients with Asthma or COPD). Atenolol, Metoprolol",X
TERBUTALINE,CARVEDILOL,Beta blocker: may diminish the bronchodilatory effect of Beta 2 Agonist. MOA: Opposing pharmacological effect,"Cardioselective beta blocker is preferable (in patients with Asthma or COPD). Atenolol, Metoprolol",X
THALIDOMIDE,PREGABALIN,Potential additive sedative effect when Thalidomide is used concurrently with medicines with CNS depressant property,--,X
THALIDOMIDE,MORPHINE,CNS depressant property of morphine may enhance the CNS depressant effect of Thalidomide,Separate the dosing,X
TORSEMIDE,ACECLOFENAC,NSAIDs may diminish the diuretic effect of Loop Diuretics. Loop Diuretic may enhance the nephrotoxic effect of NSAIDs,Diuretics other than loop diuretics. OR Separate the dosing by 2 hours,D
TORSEMIDE,ETORICOXIB,NSAIDs may diminish the diuretic effect of Loop Diuretics. Loop Diuretic may enhance the nephrotoxic effect of NSAIDs,Diuretics other than loop diuretics. OR Separate the dosing by 2 hours,D
TRAMADOL,GABAPENTIN,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TRAMADOL,CHLORPHENIRAMINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TRAMADOL,LEVOCETIRIZINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TRAMADOL,OLANZAPINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TRAMADOL,HYOSCINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TRAMADOL,PHENIRAMINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TRAMADOL,CODEINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,Separate the doses,D
TRAMADOL,TRIPROLIDINE,CNS depressants may enhance the CNS depressant effect of Opioid agonists. Coadministration of Opioids and skeletal muscle relaxant: increased risk of injuries due to falls - especially among older adults of age >66,--,D
TRAMADOL,LEVETIRACETAM,Additive CNS depressant effect,Separate the doses,D
TRAMADOL,LORAZEPAM,Additive CNS depressant effect,Separate the doses,D
6-MERCAPTOPURINE,ZOLPIDEM,Additive CNS depression due to sedative effects,Lorazepam,D
6-MERCAPTOPURINE,BENADRYL,Additive CNS depression due to sedative effects,Cetirizine,D
6-MERCAPTOPURINE,DULOXETINE,Possible increase in serotonergic effects,Venlafaxine,D
6-MERCAPTOPURINE,FLUOXETINE,Possible increase in serotonergic effects,Sertraline,D
6-MERCAPTOPURINE,ESCITALOPRAM,Possible increase in serotonergic effects,Citalopram,D
6-MERCAPTOPURINE,PAROXETINE,Possible increase in serotonergic effects,Fluvoxamine,D
6-MERCAPTOPURINE,SERTRALINE,Possible increase in serotonergic effects,Venlafaxine,D
6-MERCAPTOPURINE,ALLOPURINOL,Increased risk of myelosuppression due to inhibition of xanthine oxidase,Febuxostat,X
6-MERCAPTOPURINE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
ABIRATERONE,ACETAMINOPHEN,Potential alteration in liver metabolism,Ibuprofen,D
ABIRATERONE,ALLOPURINOL,Possible altered uric acid metabolism,Febuxostat,D
ABIRATERONE,ASPIRIN,Increased bleeding risk due to antiplatelet effects,Paracetamol,D
ABIRATERONE,ATORVASTATIN,Potential increase in statin levels due to CYP3A4 inhibition,Rosuvastatin,D
ABIRATERONE,CIPROFLOXACIN,Potential increase in abiraterone levels due to CYP3A4 inhibition,Levofloxacin,D
ABIRATERONE,CLARITHROMYCIN,Increased abiraterone levels due to CYP3A4 inhibition,Azithromycin,X
ABIRATERONE,DILTIAZEM,Increased abiraterone levels due to CYP3A4 inhibition,Amlodipine,D
ABIRATERONE,FLUCONAZOLE,Increased abiraterone levels due to CYP3A4 inhibition,Itraconazole,D
ANASTROZOLE,ESTROGEN,Antagonistic effects on estrogen receptor activity,Avoid estrogen use,X
ANASTROZOLE,TAMOXIFEN,Competitive inhibition of estrogen suppression,Letrozole,X
BENDAMUSTINE,DOXORUBICIN,Additive myelosuppression due to bone marrow toxicity,Consult prescriber,X
BENDAMUSTINE,CYCLOPHOSPHAMIDE,Additive myelosuppression due to bone marrow toxicity,Consult prescriber,X
BENDAMUSTINE,RITUXIMAB,Additive immunosuppression,Consult prescriber,D
BICALUTAMIDE,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
BICALUTAMIDE,ASPIRIN,Increased bleeding risk due to antiplatelet effects,Paracetamol,D
BLEOMYCIN,CISPLATIN,Additive nephrotoxicity and ototoxicity,Carboplatin,X
BLEOMYCIN,VINBLASTINE,Additive myelosuppression,Consult prescriber,D
BORTEZOMIB,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Bortezomib. MOA: Inhibition of CYP3A4,Itraconazole,D
BORTEZOMIB,RIFAMPICIN,Rifampicin may decrease the serum concentration of Bortezomib. MOA: Induction of CYP3A4,Consult prescriber,D
CABAZITAXEL,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Cabazitaxel. MOA: Inhibition of CYP3A4,Itraconazole,D
CABAZITAXEL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Cabazitaxel. MOA: Induction of CYP3A4,Consult prescriber,D
CAPECITABINE,WARFARIN,Increased anticoagulant effect due to inhibition of CYP2C9,Apixaban,D
CAPECITABINE,PHENYTOIN,Increased phenytoin levels due to CYP2C9 inhibition,Levetiracetam,D
CAPECITABINE,LEUCOVORIN,Enhanced toxicity of fluorouracil derivatives,Consult prescriber,D
CAPECITABINE,CISPLATIN,Additive myelosuppression and nephrotoxicity,Carboplatin,X
CYCLOPHOSPHAMIDE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
CYCLOPHOSPHAMIDE,DOXORUBICIN,Additive cardiotoxicity and myelosuppression,Consult prescriber,X
CYCLOPHOSPHAMIDE,RITUXIMAB,Additive immunosuppression,Consult prescriber,D
CYTARABINE,METHOTREXATE,Additive myelosuppression and neurotoxicity,Consult prescriber,X
CYTARABINE,FLUDARABINE,Additive myelosuppression,Consult prescriber,D
DACARBAZINE,FOTEMUSTINE,Additive myelosuppression,Consult prescriber,D
DAUNORUBICIN,CYCLOPHOSPHAMIDE,Additive cardiotoxicity and myelosuppression,Consult prescriber,X
DOCETAXEL,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Docetaxel. MOA: Inhibition of CYP3A4,Itraconazole,D
DOCETAXEL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Docetaxel. MOA: Induction of CYP3A4,Consult prescriber,D
DOXORUBICIN,CYCLOPHOSPHAMIDE,Additive cardiotoxicity and myelosuppression,Consult prescriber,X
DOXORUBICIN,TRASTUZUMAB,Enhanced cardiotoxicity,Consult prescriber,X
EPIRUBICIN,CIMETIDINE,Cimetidine may increase the serum concentration of Epirubicin. MOA: Inhibition of metabolism,Ranitidine,D
ETOPOSIDE,WARFARIN,Increased anticoagulant effect due to altered metabolism,Apixaban,D
ETOPOSIDE,CISPLATIN,Additive myelosuppression and nephrotoxicity,Carboplatin,X
EVEROLIMUS,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Everolimus. MOA: Inhibition of CYP3A4,Itraconazole,D
EVEROLIMUS,RIFAMPICIN,Rifampicin may decrease the serum concentration of Everolimus. MOA: Induction of CYP3A4,Consult prescriber,D
EXEMESTANE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Exemestane. MOA: Induction of CYP3A4,Consult prescriber,D
FLUDARABINE,CYTARABINE,Additive myelosuppression,Consult prescriber,D
FLUDARABINE,PENTOSTATIN,Increased risk of pulmonary toxicity,Consult prescriber,X
FLUOROURACIL,WARFARIN,Increased anticoagulant effect due to inhibition of CYP2C9,Apixaban,D
FLUOROURACIL,PHENYTOIN,Increased phenytoin levels due to CYP2C9 inhibition,Levetiracetam,D
FLUOROURACIL,CISPLATIN,Additive myelosuppression and nephrotoxicity,Carboplatin,X
GEMCITABINE,CISPLATIN,Additive myelosuppression and nephrotoxicity,Carboplatin,X
GEMCITABINE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
HYDROXYUREA,DIDANOSINE,Increased risk of pancreatitis and hepatotoxicity,Consult prescriber,X
IFOSFAMIDE,CISPLATIN,Additive nephrotoxicity and myelosuppression,Carboplatin,X
IFOSFAMIDE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
IMATINIB,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
IMATINIB,ACETAMINOPHEN,Potential increase in hepatotoxicity,Ibuprofen,D
IMATINIB,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Imatinib. MOA: Inhibition of CYP3A4,Itraconazole,D
IMATINIB,RIFAMPICIN,Rifampicin may decrease the serum concentration of Imatinib. MOA: Induction of CYP3A4,Consult prescriber,D
IMATINIB,SIMVASTATIN,Increased simvastatin levels due to CYP3A4 inhibition,Pravastatin,D
IRINOTECAN,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Irinotecan. MOA: Inhibition of CYP3A4,Itraconazole,D
IXABEPILONE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Ixabepilone. MOA: Inhibition of CYP3A4,Itraconazole,D
IXABEPILONE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Ixabepilone. MOA: Induction of CYP3A4,Consult prescriber,D
LENALIDOMIDE,DIGOXIN,Increased digoxin levels due to P-glycoprotein inhibition,Metoprolol,D
LETROZOLE,TAMOXIFEN,Competitive inhibition of estrogen suppression,Anastrozole,X
LOMUSTINE,CIMETIDINE,Cimetidine may increase the serum concentration of Lomustine. MOA: Inhibition of metabolism,Ranitidine,D
MELPHALAN,CYCLOSPORINE,Increased risk of nephrotoxicity,Tacrolimus,D
MERCAPTOPURINE,ALLOPURINOL,Increased risk of myelosuppression due to inhibition of xanthine oxidase,Febuxostat,X
MERCAPTOPURINE,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
METHOTREXATE,ASPIRIN,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
METHOTREXATE,NSAIDS,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
METHOTREXATE,PENICILLIN,Increased methotrexate levels due to reduced renal clearance,Cephalexin,D
METHOTREXATE,PHENYTOIN,Phenytoin may decrease the serum concentration of Methotrexate. MOA: CYP3A4-mediated metabolism,Levetiracetam,D
METHOTREXATE,PROBENECID,Increased methotrexate levels due to reduced renal clearance,Consult prescriber,D
METHOTREXATE,TRIMETHOPRIM,Increased risk of myelosuppression due to folate antagonism,Ciprofloxacin,D
MITOMYCIN,VINBLASTINE,Additive myelosuppression,Consult prescriber,D
MITOXANTRONE,CYCLOPHOSPHAMIDE,Additive cardiotoxicity and myelosuppression,Consult prescriber,X
OXALIPLATIN,WARFARIN,Potential increase in anticoagulant effect due to altered metabolism,Apixaban,D
PACLITAXEL,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Paclitaxel. MOA: Inhibition of CYP3A4,Itraconazole,D
PACLITAXEL,RIFAMPICIN,Rifampicin may decrease the serum concentration of Paclitaxel. MOA: Induction of CYP3A4,Consult prescriber,D
PEMETREXED,IBUPROFEN,Increased pemetrexed levels due to reduced renal clearance,Paracetamol,D
PEMETREXED,ASPIRIN,Increased pemetrexed levels due to reduced renal clearance,Paracetamol,D
PROCARBAZINE,ALCOHOL,Disulfiram-like reaction due to inhibition of aldehyde dehydrogenase,Avoid alcohol,X
PROCARBAZINE,TYRAMINE,Hypertensive crisis due to MAO inhibition,Avoid tyramine-rich foods,X
TAMOXIFEN,WARFARIN,Increased anticoagulant effect due to CYP2C9 inhibition,Apixaban,D
TAMOXIFEN,RIFAMPICIN,Rifampicin may decrease the serum concentration of Tamoxifen. MOA: Induction of CYP3A4,Consult prescriber,D
TAMOXIFEN,SSRIs,Decreased efficacy of tamoxifen due to CYP2D6 inhibition,Venlafaxine,D
TEMOZOLOMIDE,VALPROIC ACID,Increased risk of myelosuppression due to altered metabolism,Levetiracetam,D
TEMSIROLIMUS,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Temsirolimus. MOA: Inhibition of CYP3A4,Itraconazole,D
TEMSIROLIMUS,RIFAMPICIN,Rifampicin may decrease the serum concentration of Temsirolimus. MOA: Induction of CYP3A4,Consult prescriber,D
THALIDOMIDE,DEXAMETHASONE,Additive thrombogenic effect,Consult prescriber,D
TOPOTECAN,PHENYTOIN,Phenytoin may decrease the serum concentration of Topotecan. MOA: Induction of metabolism,Levetiracetam,D
TRETINOIN,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Tretinoin. MOA: Inhibition of CYP3A4,Itraconazole,D
TRETINOIN,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Tretinoin. MOA: Inhibition of CYP3A4,Azithromycin,D
VINBLASTINE,ERYTHROMYCIN,Erythromycin may increase the serum concentration of Vinblastine. MOA: Inhibition of CYP3A4,Azithromycin,D
VINBLASTINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Vinblastine. MOA: Induction of metabolism,Levetiracetam,D
VINCRISTINE,PHENYTOIN,Phenytoin may decrease the serum concentration of Vincristine. MOA: Induction of metabolism,Levetiracetam,D
VINCRISTINE,ITRACONAZOLE,Itraconazole may increase the serum concentration of Vincristine. MOA: Inhibition of CYP3A4,Fluconazole,D
VINORELBINE,KETOCONAZOLE,Ketoconazole may increase the serum concentration of Vinorelbine. MOA: Inhibition of CYP3A4,Itraconazole,D
VINORELBINE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Vinorelbine. MOA: Induction of CYP3A4,Consult prescriber,D
ACECLOFENAC,LITHIUM,Increased lithium levels due to reduced renal clearance,Lamotrigine,D
ACECLOFENAC,DIGOXIN,Increased digoxin levels due to reduced renal clearance,Metoprolol,D
ACECLOFENAC,METHOTREXATE,Increased methotrexate levels due to reduced renal clearance,Paracetamol,D
ACECLOFENAC,CYCLOSPORINE,Increased risk of nephrotoxicity,Tacrolimus,D
ACECLOFENAC,QUINOLONES,Increased risk of seizures due to CNS stimulation,Consult prescriber,D
ACETYL CYSTEINE,IRON,Chelation reducing iron absorption,Separate the doses,D
ACETYL CYSTEINE,CALCIUM,Chelation reducing calcium absorption,Separate the doses,D
ACYCLOVIR,FOSCARNET,Additive nephrotoxicity due to renal effects,Valacyclovir,X
ACYCLOVIR,PROBENECID,Increased acyclovir levels due to reduced renal clearance,Consult prescriber,D
ACYCLOVIR,TENOFOVIR,Additive nephrotoxicity,Valacyclovir,X
ACYCLOVIR,ZIDOVUDINE,Additive neurotoxicity,Consult prescriber,D
ALBENDAZOLE,CARBAMAZEPINE,Carbamazepine may decrease the serum concentration of Albendazole. MOA: Induction of metabolism,Ivermectin,D
ALBENDAZOLE,PHENYTOIN,Phenytoin may decrease the serum concentration of Albendazole. MOA: Induction of metabolism,Ivermectin,D
ALBENDAZOLE,RIFAMPICIN,Rifampicin may decrease the serum concentration of Albendazole. MOA: Induction of CYP3A4,Ivermectin,D
AMIKACIN,AMPHOTERICIN B,Additive nephrotoxicity,Consult prescriber,X
AMIKACIN,CEPHALOSPORIN,Additive nephrotoxicity,Consult prescriber,D
AMIKACIN,CISPLATIN,Additive nephrotoxicity due to renal effects,Gentamicin (if appropriate),X
AMIKACIN,COLISTIN,Additive nephrotoxicity and neurotoxicity,Consult prescriber,X
AMIKACIN,CYCLOSPORINE,Additive nephrotoxicity,Tacrolimus,X
